VetPak,EarTag,PermID
PEL327,R101,
SAC21,R103,
SAC22,R104,
PEL314,R105,
SAC3,R106,
PEL303,R107,
PEL331,R108,
PEL311,R109,
PEL321,R110,
SAC24,R111,
PEL308,R112,
PEL329,R113,
PEL313,R114,
SAC31,R120,
SAC33,R121,
PEL326,R122,
PEL306,R123,
PEL312,R124,
PEL309,R130,
PEL316,R131,
PEL328,R132,
PEL322,R133,
PEL319,R134,
PEL302,R140,
PEL315,R142,
PEL301,R143,
PEL330,R144,
PEL334,R280,
SAC9,R281,
SAC8,R282,
SAC10,R283,
PEL324,R284,
SAC18,R290,
SAC28,R291,
SAC5,R292,
PEL304,R293,
SAC39,R294,
PEL317,Y1,
PEL318,Y141,
PEL325,Y16,
PEL332,Y17,
SAC17,Y2,SAC006
SAC25,Y2,SAC013
SAC13,Y21,
SAC15,Y23,
SAC2,Y24,
SAC19,Y356,
SAC38,Y357,
SAC6,Y358,
SAC26,Y359,
SAC1,Y360,
PEL333,Y362,
SAC36,Y384,
SAC23,Y387,
SAC27,Y393,
PEL310,Y394,
PEL323,Y395,
SAC29,Y4,
PEL305,Y63,
SAC37,Y7,
SAC20,Y70,
SAC7,Y76,
PEL300,Y77,
SAC16,Y78,
SAC35,Y8,
PEL320,Y83,
SAC30,Y85,
PEL307,Y9,
SAC11,Y97,
