Herd,Est,Year,Month
PEC,353,2000,JUL
PEC,350,2001,JUL
PEC,325,2002,AUG
PEC,350,2003,JUL
PEC,350,2004,JUL
PEC,350,2005,JUL
PEC,350,2006,JUL
PEC,275,2007,JUL
PEC,210,2008,JUL
PEC,130,2009,JUL
PEC,125,2010,JUL
PEC,128,2011,SEP
PEC,158,2012,July/Sept
PEC,200,2013,SEP
PEC,248,2014,JUL
PEC,275,2015,JUL
PEC,275,2015,SEP
PEC,375,2016,JUL
PEC,375,2017,JUL
PEC,375,2018,JUL
PEC,335,2019,JUL
PEC,365,2021,JUL
PEC,400,2022,JUL
WH,180,2000,SEP
WH,200,2001,SEP
WH,225,2002,SEP
WH,250,2003,SEP
WH,300,2004,JUL
WH,300,2005,JUL
WH,335,2006,JUL
WH,275,2008,JUL
WH,235,2009,JUL
WH,250,2010,JUL
WH,300,2011,JUL
WH,275,2012,JUL
WH,275,2013,JUL
WH,275,2014,JUL
WH,238,2015,JUL
WH,252,2016,JUL
WH,252,2017,AUG
WH,252,2018,JUL
WH,282,2019,JUL
WH,252,2022,JUL
SFR,50,2000,OCT
SFR,65,2001,NOV
SFR,75,2002,OCT
SFR,85,2003,OCT
SFR,105,2004,OCT
SFR,115,2005,OCT
SFR,75,2006,OCT
SFR,75,2007,JUN
SFR,80,2008,OCT
SFR,80,2009,OCT
SFR,58,2010,OCT
SFR,35,2011,DEC
SFR,25,2012,OCT
SFR,30,2013,OCT
SFR,82,2014,OCT
SFR,62,2015,OCT
SFR,72,2016,OCT
SFR,60,2019,DEC
SFR,60,2021,OCT
TC,40,2000,OCT
TC,35,2001,NOV
TC,45,2002,OCT
TC,45,2003,OCT
TC,45,2004,OCT
TC,48,2005,OCT
TC,80,2006,OCT
TC,70,2007,NOV
TC,70,2008,OCT
TC,60,2009,OCT
TC,40,2010,OCT
TC,22,2012,JAN
TC,22,2012,OCT
TC,22,2013,OCT
TC,22,2013,NOV
TC,32,2018,SEP
DC,34,2007,AUG
DC,52,2008,DEC
DC,75,2009,DEC
DC,65,2010,NOV
DC,90,2011,NOV
DC,110,2012,NOV
DC,118,2013,NOV
DC,118,2014,DEC
DC,122,2015,NOV
DC,155,2016,NOV
DC,180,2017,NOV
DC,180,2018,DEC
DC,160,2019,NOV
DC,160,2020,NOV
DC,165,2021,DEC
DC,165,2022,NOV
RGG,23,2006,SEP
RGG,25,2007,AUG
RGG,58,2008,JUN
RGG,88,2009,NOV
RGG,116,2010,NOV
RGG,138,2011,NOV
RGG,160,2012,NOV
RGG,190,2013,NOV
RGG,240,2014,NOV
RGG,278,2015,NOV
RGG,335,2016,NOV
RGG,378,2017,NOV
RGG,398,2018,NOV
RGG,398,2019,DEC
RGG,305,2021,DEC
RGG,250,2022,OCT
MZ,30,2000,DEC
MZ,40,2001,MAY
MZ,35,2002,JUN
MZ,25,2007,FEB
MZ,22,2009,MAY
MZ,30,2010,AUG
MZ,56,2012,OCT
MZ,50,2013,NOV
MZ,56,2014,JUN
MZ,56,2015,NOV
MZ,60,2018,OCT
MZ,70,2019,DEC
MZ,60,2022,DEC
CUL,32,2013,JUL
CUL,38,2014,JUL
CUL,22,2015,JUL
CUL,48,2016,JUL
CUL,68,2017,AUG
CUL,58,2018,JUL
CUL,58,2018,AUG
CUL,58,2019,JUL
CUL,58,2019,AUG
CUL,62,2020,AUG
CUL,65,2021,JUL
CUL,65,2022,JUL
CUL,65,2022,AUG
LAT,56,2001,AUG
LAT,85,2002,JUL
LAT,106,2003,JUL
LAT,128,2004,JUL
LAT,150,2005,JUL
LAT,150,2006,JUL
LAT,72,2007,JUL
LAT,72,2007,JUL
LAT,72,2008,JUL
LAT,90,2009,JUL
LAT,88,2010,JUL
LAT,115,2011,AUG
LAT,120,2012,JUL
LAT,135,2013,AUG
LAT,135,2014,JUL
LAT,135,2015,JUN
LAT,135,2015,JUL
LAT,92,2016,JUL
LAT,92,2016,JUL
LAT,65,2017,AUG
LAT,65,2017,OCT
LAT,62,2018,JUL
LAT,68,2019,JUL
LAT,68,2019,AUG
LAT,72,2021,JUL
LAT,72,2022,JUL
PE,60,2000,APR
PE,50,2001,MAY
PE,28,2002,MAY
PE,28,2002,Oct/Nov
PE,25,2003,MAY
PE,70,2004,May/Aug
PE,70,2005,Jan/Jun
PE,70,2005,NOV
PE,70,2006,JUN
PE,80,2007,Jan/Aug
PE,80,2009,MAY
PE,80,2010,JUN
PE,98,2011,NOV
PE,122,2012,MAY
PE,112,2013,MAY
PE,98,2014,MAY
PE,102,2015,MAY
PE,135,2016,APR
PE,140,2017,MAY
PE,175,2018,OCT
PE,150,2019,MAY
PE,130,2021,MAY
PE,130,2022,JUN
HAT,50,2000,APR
HAT,40,2001,MAY
HAT,40,2001,OCT
HAT,40,2002,MAY
HAT,35,2003,MAY
HAT,40,2004,MAY
LH,28,2005,OCT
BH,18,2005,MAY
LH,68,2006,JUN
LH,58,2007,NOV
BH,72,2007,NOV
LH,62,2008,MAY
BH,68,2008,MAY
LH,68,2009,MAY
BH,68,2009,MAY
BH,68,2010,JUN
LH,65,2010,OCT
BH,68,2011,MAY
BH,80,2012,OCT
LH,70,2012,OCT
LH,80,2013,OCT
BH,60,2013,OCT
LH,65,2014,OCT
BH,125,2014,NOV
LH,80,2015,MAY
BH,135,2015,OCT
LH,100,2016,APR
BH,145,2016,APR
BH,145,2017,MAY
LH,80,2017,OCT
BH,125,2018,MAY
LH,82,2019,MAY
BH,100,2019,MAY
LH,80,2021,MAY
BH,100,2021,MAY
LH,55,2022,JUN
BH,100,2022,JUN
FC,56,2000,OCT
FC,66,2001,OCT
FC,79,2002,AUG
FC,65,2003,MAY
FC,75,2004,MAY
FC,65,2005,MAY
FC,75,2006,MAY
FC,85,2007,OCT
FC,100,2008,MAY
FC,185,2010,JUN
FC,215,2011,MAY
FC,230,2012,MAY
FC,250,2013,MAY
FC,250,2013,OCT
FC,231,2014,MAY
FC,245,2015,OCT
FC,305,2016,DEC
FC,325,2017,MAY
FC,325,2017,NOV
FC,250,2018,NOV
FC,185,2019,DEC
FC,175,2020,DEC
FC,170,2021,OCT
CAB,30,2008,OCT
CAB,53,2009,NOV
CAB,62,2010,NOV
CAB,70,2011,MAY
CAB,98,2012,NOV
CAB,110,2013,OCT
CAB,110,2014,OCT
CAB,135,2015,OCT
CAB,155,2016,OCT
CAB,180,2017,NOV
CAB,215,2018,OCT
CAB,245,2019,DEC
CAB,235,2021,MAY
CAB,190,2022,JUN
SA,60,2002,DEC
SA,59,2003,DEC
SA,68,2004,DEC
SA,110,2005,DEC
SA,75,2006,DEC
SA,85,2007,AUG
SA,90,2008,OCT
SA,100,2009,DEC
SA,115,2010,OCT
SA,118,2012,OCT
SA,200,2015,OCT
SA,220,2016,OCT
SA,230,2017,NOV
SA,255,2018,OCT
SA,205,2019,OCT
SA,210,2021,OCT
LA,24,2000,JUN
LA,26,2001,OCT
LA,27,2002,MAY
LA,30,2003,APR
LA,30,2004,MAY
LA,35,2006,JUN
LA,32,2008,JUN
LA,32,2009,JUN
LA,40,2010,JUN
LA,55,2012,SEP
LA,70,2013,SEP
LA,75,2014,MAY
LA,85,2016,SEP
LA,115,2017,DEC
LA,138,2018,MAY
LA,160,2019,DEC
LA,200,2021,MAY
LA,200,2022,JUN
JZ,45,2014,AUG
JZ,68,2016,JUN
JZ,110,2017,JUN
JZ,130,2018,JUN
JZ,145,2019,JUL
JZ,176,2020,JUL
JZ,175,2021,SEP
SAC,30,2018,NA
SAC,35,2019,NA
SAC,66,2020,NA
SAC,40,2021,NA
SAC,43,2022,NA
